Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4004","D_2512_6332Metric_Pad1.52x3.35mm_HandSolder",81.280000,-35.560000,-90.000000,top
"D2","1N4004","D_2512_6332Metric_Pad1.52x3.35mm_HandSolder",81.280000,-58.420000,-90.000000,top
"D3","1N4004","D_2512_6332Metric_Pad1.52x3.35mm_HandSolder",81.280000,-81.280000,-90.000000,top
"D4","1N4004","D_2512_6332Metric_Pad1.52x3.35mm_HandSolder",104.140000,-109.220000,90.000000,top
"D5","1N4004","D_2512_6332Metric_Pad1.52x3.35mm_HandSolder",48.260000,-104.140000,-90.000000,top
"DL1","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",71.120000,-38.100000,90.000000,top
"DL2","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",71.120000,-60.960000,90.000000,top
"DL3","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",71.120000,-83.820000,90.000000,top
"DL4","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",111.760000,-106.680000,-90.000000,top
"DL5","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",40.640000,-106.680000,90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",124.460000,-38.180000,90.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",124.460000,-55.880000,90.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",124.460000,-73.740000,90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",124.460000,-91.440000,90.000000,top
"J5","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",124.460000,-109.220000,90.000000,top
"J45","RJ45","RJ45_Amphenol_54602-x08_Horizontal",45.740000,-79.537500,-90.000000,top
"Jent1","Jent1","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",40.640000,-55.880000,-90.000000,top
"Jent2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",40.640000,-35.560000,-90.000000,top
"K1","JQC-3F-1C-24VDC","RELAY_JQC-3F-1C-24VDC",96.520000,-38.100000,0.000000,top
"K2","JQC-3F-1C-24VDC","RELAY_JQC-3F-1C-24VDC",96.520000,-60.960000,0.000000,top
"K3","JQC-3F-1C-24VDC","RELAY_JQC-3F-1C-24VDC",96.520000,-83.820000,0.000000,top
"K4","JQC-3F-1C-24VDC","RELAY_JQC-3F-1C-24VDC",88.900000,-106.680000,180.000000,top
"K5","JQC-3F-1C-24VDC","RELAY_JQC-3F-1C-24VDC",63.500000,-106.680000,0.000000,top
"L1","5mH","L_6.3x6.3_H3",58.420000,-63.500000,90.000000,top
"L2","5mH","L_6.3x6.3_H3",58.420000,-40.640000,180.000000,top
"Q1","2N2219","SOT-23",81.280000,-43.180000,0.000000,top
"Q2","2N2219","SOT-23",81.280000,-66.040000,0.000000,top
"Q3","2N2219","SOT-23",81.280000,-88.900000,0.000000,top
"Q4","2N2219","SOT-23",104.140000,-101.600000,180.000000,top
"Q5","2N2219","SOT-23",48.260000,-111.760000,0.000000,top
"R1","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.120000,-43.180000,180.000000,top
"R2","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.120000,-66.040000,180.000000,top
"R3","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.120000,-88.900000,0.000000,top
"R4","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.760000,-101.600000,180.000000,top
"R5","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.640000,-111.760000,0.000000,top
"RL1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-33.020000,-90.000000,top
"RL2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-55.880000,-90.000000,top
"RL3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-78.740000,-90.000000,top
"RL4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.760000,-111.760000,-90.000000,top
"RL5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.640000,-101.600000,-90.000000,top
